"ID","Name","Category","Location","Rating","Reviews","GBP Claimed","Website Status","Website Url","HTTPS Redirect","SSL Status","SSL Provider","Admin Panel Exposed","Forms Protection","Directory Listing","Safe Browsing","Missing Headers","Security Score","Risk Level","Outreach Priority","Estimated Lead Value","Outreach Strategy","Outreach Subject Line","First Touch Pitch","Sales Pitch Hook","Key Security Gaps","Recommendation"
"BIZ-10","Karim's Restaurant","Restaurants & Cafes","Delhi","4.2","5600","No","Active","http://karimsdelhi.in","No","None","None","Yes","Unprotected","Yes","Clean","All Headers Missing","1","Very High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","In-Person Executive Meeting (Deliver Printed Security Briefing)","Critical Security Warning: Insecure connection on Karim's Restaurant","Your website (http://karimsdelhi.in) is sending customer passwords and inputs in cleartext without forcing HTTPS, prompting security warnings. We can fix it today.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Exposed WordPress Admin Panel (Brute Force Vulnerability) | Unclaimed Business Profile on Google Maps (Malicious Takeover Risk) | Exposed Web Directory (Insecure Server File Listings) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: None, Exposed Admin Panel (/wp-admin or /admin), Unprotected Forms, Directory Listing Enabled","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Restrict access to admin pages (/wp-admin, /admin) by IP address, change default URL path, and enable MFA; Disable directory indexing in server config (.htaccess or Nginx config); Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-16","Ganga Hospital","Healthcare & Clinics","Coimbatore","4.6","1500","Yes","Active","http://gangahospital.co.in","No","None","None","Yes","Unprotected","No","Clean","All Headers Missing","1","Very High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","In-Person Executive Meeting (Deliver Printed Security Briefing)","Critical Security Warning: Insecure connection on Ganga Hospital","Your website (http://gangahospital.co.in) is sending customer passwords and inputs in cleartext without forcing HTTPS, prompting security warnings. We can fix it today.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Exposed WordPress Admin Panel (Brute Force Vulnerability) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: None, Exposed Admin Panel (/wp-admin or /admin), Unprotected Forms","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Restrict access to admin pages (/wp-admin, /admin) by IP address, change default URL path, and enable MFA; Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-19","Dr. Mehta's Hospitals","Healthcare & Clinics","Chennai","3.9","950","Yes","Active","http://mehtahospitals.com","No","Expired","Let's Encrypt (Expired)","No","Unprotected","No","Suspicious","All Headers Missing","1","Very High Risk","CRITICAL","$1,500 - $2,500 (Standard Setup)","Direct Email Outreach + Safe Browsing Alert PDF","Urgent: Expired SSL Certificate security warning for Dr. Mehta's Hospitals","Your website (http://mehtahospitals.com) currently triggers a red 'Your Connection is Not Private' warning in browsers. We can restore a secure SSL certificate within 2 hours.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Insecure Webforms (Vulnerable to SQLi and Contact Spam) | Phishing/Malware Flags Detected on Domain","No HTTPS Redirect, SSL Status: Expired, Unprotected Forms, Safe Browsing: Suspicious","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Implement CSRF tokens, secure input sanitization, and captchas on contact forms; Run security malware scans, remove malicious scripts, and request Google review of blacklist"
"BIZ-28","Kalaniketan Colaba","Retail & Shops","Mumbai","4.0","720","Yes","Active","http://kalaniketancolaba.in","No","None","None","Yes","Unprotected","No","Clean","All Headers Missing","1","Very High Risk","CRITICAL","$1,500 - $2,500 (Standard Setup)","Direct Email Outreach + Safe Browsing Alert PDF","Critical Security Warning: Insecure connection on Kalaniketan Colaba","Your website (http://kalaniketancolaba.in) is sending customer passwords and inputs in cleartext without forcing HTTPS, prompting security warnings. We can fix it today.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Exposed WordPress Admin Panel (Brute Force Vulnerability) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: None, Exposed Admin Panel (/wp-admin or /admin), Unprotected Forms","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Restrict access to admin pages (/wp-admin, /admin) by IP address, change default URL path, and enable MFA; Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-09","Britto's Restaurant & Bar","Restaurants & Cafes","Goa","4.1","11500","Yes","Active","http://brittosgoa.com","No","None","None","No","Unprotected","No","Clean","X-Frame-Options, CSP","2","High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","In-Person Executive Meeting (Deliver Printed Security Briefing)","Critical Security Warning: Insecure connection on Britto's Restaurant & Bar","Your website (http://brittosgoa.com) is sending customer passwords and inputs in cleartext without forcing HTTPS, prompting security warnings. We can fix it today.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: None, Unprotected Forms","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-04","Flurys","Restaurants & Cafes","Kolkata","4.3","4500","Yes","Active","http://flurys.com","No","None","None","No","Unprotected","Yes","Clean","All Headers Missing","2","High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","In-Person Executive Meeting (Deliver Printed Security Briefing)","Critical Security Warning: Insecure connection on Flurys","Your website (http://flurys.com) is sending customer passwords and inputs in cleartext without forcing HTTPS, prompting security warnings. We can fix it today.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Exposed Web Directory (Insecure Server File Listings) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: None, Unprotected Forms, Directory Listing Enabled","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Disable directory indexing in server config (.htaccess or Nginx config); Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-25","Mysore Silk Udyog","Retail & Shops","Bengaluru","4.1","1200","Yes","Active","http://mysoresilkudyog.com","No","None","None","No","Unprotected","No","Clean","X-Frame-Options","2","High Risk","CRITICAL","$3,500 - $5,000 (Premium Retainer)","In-Person Executive Meeting (Deliver Printed Security Briefing)","Critical Security Warning: Insecure connection on Mysore Silk Udyog","Your website (http://mysoresilkudyog.com) is sending customer passwords and inputs in cleartext without forcing HTTPS, prompting security warnings. We can fix it today.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: None, Unprotected Forms","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-49","Gokulam Park Plaza","Hospitality & Hotels","Kochi","4.0","750","Yes","Active","http://gokulampark.co.in","No","Expired","Let's Encrypt (Expired)","No","Unprotected","No","Clean","All Headers Missing","2","High Risk","CRITICAL","$1,500 - $2,500 (Standard Setup)","Direct Email Outreach + Safe Browsing Alert PDF","Urgent: Expired SSL Certificate security warning for Gokulam Park Plaza","Your website (http://gokulampark.co.in) currently triggers a red 'Your Connection is Not Private' warning in browsers. We can restore a secure SSL certificate within 2 hours.","Insecure Protocol / Missing SSL (Active Browser Security Warnings) | Insecure Webforms (Vulnerable to SQLi and Contact Spam)","No HTTPS Redirect, SSL Status: Expired, Unprotected Forms","Install valid SSL certificate (e.g. Let's Encrypt) and force HTTPS redirect; Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-02","Toit Brewpub","Restaurants & Cafes","Bengaluru","4.6","9800","Yes","Active","https://toit.in","Yes","Valid","Let's Encrypt","Yes","Protected","No","Clean","CSP, HSTS","4","Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Security Risk Alert: Exposed WordPress admin panel on Toit Brewpub","Your administrative login page is accessible to anyone at https://toit.in/wp-admin, leaving you open to brute-force credential stuffing. We can restrict this immediately.","Exposed WordPress Admin Panel (Brute Force Vulnerability)","Exposed Admin Panel (/wp-admin or /admin)","Restrict access to admin pages (/wp-admin, /admin) by IP address, change default URL path, and enable MFA"
"BIZ-03","Glen's Bakehouse","Restaurants & Cafes","Bengaluru","4.4","3200","Yes","Active","https://glensbakehouse.com","Yes","Valid","Cloudflare","No","Unprotected","No","Clean","None","4","Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Glen's Bakehouse","We have run a digital presence scan on Glen's Bakehouse and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","Insecure Webforms (Vulnerable to SQLi and Contact Spam)","Unprotected Forms","Implement CSRF tokens, secure input sanitization, and captchas on contact forms"
"BIZ-06","Paradise Biryani","Restaurants & Cafes","Hyderabad","4.0","18500","Yes","Active","https://paradisebiryani.com","Yes","Valid","Sectigo","No","Protected","No","Clean","X-Frame-Options","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Paradise Biryani","We have run a digital presence scan on Paradise Biryani and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-41","Taj Mahal Palace Colaba","Hospitality & Hotels","Mumbai","4.9","18500","Yes","Active","https://tajhotels.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Taj Mahal Palace Colaba","We have run a digital presence scan on Taj Mahal Palace Colaba and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-05","Mavalli Tiffin Room (MTR)","Restaurants & Cafes","Bengaluru","4.5","12000","Yes","Active","https://mtrrestaurants.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Mavalli Tiffin Room (MTR)","We have run a digital presence scan on Mavalli Tiffin Room (MTR) and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-44","ITC Grand Chola Guindy","Hospitality & Hotels","Chennai","4.8","9500","Yes","Active","https://itchotels.com","Yes","Valid","Sectigo","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for ITC Grand Chola Guindy","We have run a digital presence scan on ITC Grand Chola Guindy and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-17","Medanta The Medicity","Healthcare & Clinics","Delhi","4.3","8900","Yes","Active","https://medanta.org","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Medanta The Medicity","We have run a digital presence scan on Medanta The Medicity and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-42","The Oberoi Mahatma Gandhi Rd","Hospitality & Hotels","Bengaluru","4.8","6200","Yes","Active","https://oberoihotels.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for The Oberoi Mahatma Gandhi Rd","We have run a digital presence scan on The Oberoi Mahatma Gandhi Rd and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-45","JW Marriott Senapati Bapat Rd","Hospitality & Hotels","Pune","4.7","5400","Yes","Active","https://marriott.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for JW Marriott Senapati Bapat Rd","We have run a digital presence scan on JW Marriott Senapati Bapat Rd and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-43","The Leela Palace MRC Nagar","Hospitality & Hotels","Chennai","4.7","4800","Yes","Active","https://theleela.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for The Leela Palace MRC Nagar","We have run a digital presence scan on The Leela Palace MRC Nagar and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-11","Apollo Hospitals Greams Road","Healthcare & Clinics","Chennai","4.2","4200","Yes","Active","https://apollohospitals.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Apollo Hospitals Greams Road","We have run a digital presence scan on Apollo Hospitals Greams Road and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-13","Manipal Hospital Old Airport Rd","Healthcare & Clinics","Bengaluru","4.3","3500","Yes","Active","https://manipalhospitals.com","Yes","Valid","Sectigo","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Manipal Hospital Old Airport Rd","We have run a digital presence scan on Manipal Hospital Old Airport Rd and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-21","Nalli Silks T-Nagar","Retail & Shops","Chennai","4.5","3200","Yes","Active","https://nalli.com","Yes","Valid","GeoTrust","No","Protected","No","Clean","CSP","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Nalli Silks T-Nagar","We have run a digital presence scan on Nalli Silks T-Nagar and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-46","Rambagh Palace","Hospitality & Hotels","Jaipur","4.9","3200","Yes","Active","https://tajhotels.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Rambagh Palace","We have run a digital presence scan on Rambagh Palace and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-15","Narayana Health City","Healthcare & Clinics","Bengaluru","4.4","3100","Yes","Active","https://narayanahealth.org","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Narayana Health City","We have run a digital presence scan on Narayana Health City and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-12","Fortis Hospital Mulund","Healthcare & Clinics","Mumbai","4.1","2800","Yes","Active","https://fortishealthcare.com","Yes","Valid","Entrust","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Fortis Hospital Mulund","We have run a digital presence scan on Fortis Hospital Mulund and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-18","KIMS Hospitals Secunderabad","Healthcare & Clinics","Hyderabad","4.1","2400","Yes","Active","https://kimshospitals.com","Yes","Valid","Sectigo","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for KIMS Hospitals Secunderabad","We have run a digital presence scan on KIMS Hospitals Secunderabad and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-14","Lilavati Hospital & Research Centre","Healthcare & Clinics","Mumbai","4.0","1900","Yes","Active","https://lilavatihospital.com","Yes","Valid","GlobalSign","No","Protected","No","Clean","CSP","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Lilavati Hospital & Research Centre","We have run a digital presence scan on Lilavati Hospital & Research Centre and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-27","Manyavar","Retail & Shops","Kolkata","4.4","1500","Yes","Active","https://manyavar.com","Yes","Valid","Sectigo","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Manyavar","We have run a digital presence scan on Manyavar and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-29","Ratnadeep Supermarket Jubilee Hills","Retail & Shops","Hyderabad","4.3","1100","Yes","Active","https://ratnadeep.com","Yes","Valid","Cloudflare","No","Protected","No","Clean","CSP","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Ratnadeep Supermarket Jubilee Hills","We have run a digital presence scan on Ratnadeep Supermarket Jubilee Hills and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
"BIZ-47","Wildflower Hall Anamika","Hospitality & Hotels","Shimla","4.8","1100","Yes","Active","https://oberoihotels.com","Yes","Valid","DigiCert","No","Protected","No","Clean","None","5","Very Secure","LOW","$250 (Routine Audit / Audit Retainer)","LinkedIn Outreach to Owner / Operations Manager","Digital Security Posture Review for Wildflower Hall Anamika","We have run a digital presence scan on Wildflower Hall Anamika and verified that your primary protocols are secure. We offer routine scanning packages to maintain this posture.","General Maintenance & Continuous Security Penetration Scanning","None (All Secure)","Maintain existing secure posture. Schedule routine security auditing and patch CMS regularly."
